Time (s),Pressure (mmHg)
0.0003497600555419922,-1.2
0.04821300506591797,-1.2
0.09813904762268066,-1.1
0.14711475372314453,-0.91
0.19687366485595703,-0.65
0.2463064193725586,-0.32
0.29516148567199707,0.05
0.3444802761077881,0.39
0.3935818672180176,0.67
0.4432673454284668,0.94
0.49259352684020996,1.2
0.5420236587524414,1.45
0.5918288230895996,1.69
0.6405408382415771,1.93
0.6902825832366943,2.15
0.7396700382232666,2.36
0.7888092994689941,2.56
0.8385694026947021,2.76
0.8881392478942871,2.95
0.9374403953552246,3.13
0.9863574504852295,3.3
1.0363359451293945,3.47
1.0848565101623535,3.63
1.1348109245300293,3.79
1.1838700771331787,3.94
1.2333166599273682,4.07
1.2828714847564697,4.15
1.3322534561157227,4.07
1.3816633224487305,3.83
1.4311017990112305,3.49
1.480292797088623,3.14
1.5299773216247559,2.84
1.5785675048828125,2.69
1.6280972957611084,2.71
1.677476167678833,2.81
1.7269551753997803,2.94
1.7764825820922852,3.06
1.826002836227417,3.17
1.8750278949737549,3.29
1.9248456954956055,3.41
1.9742107391357422,3.52
2.0235629081726074,3.64
2.0733041763305664,3.73
2.1222243309020996,3.81
2.171868324279785,3.9
2.2213635444641113,4.01
2.2702929973602295,4.11
2.319593667984009,4.2
2.3693430423736572,4.31
2.4187350273132324,4.42
2.467999219894409,4.5
2.517204523086548,4.59
2.5665128231048584,4.74
2.61624813079834,4.89
2.665661573410034,5.02
2.7149078845977783,5.15
2.7643320560455322,5.29
2.813837766647339,5.42
2.862579584121704,5.54
2.9122424125671387,5.68
2.961535930633545,5.82
3.010606527328491,5.96
3.0600836277008057,6.06
3.109800100326538,6.13
3.1589787006378174,6.21
3.208590269088745,6.31
3.258227825164795,6.42
3.3074965476989746,6.58
3.3569495677948,6.77
3.4061594009399414,6.94
3.4555459022521973,7.11
3.5053560733795166,7.28
3.554025888442993,7.44
3.6036970615386963,7.6
3.652761697769165,7.77
3.702552318572998,7.95
3.7514238357543945,8.12
3.801248073577881,8.29
3.850296974182129,8.46
3.8999240398406982,8.62
3.9488539695739746,8.79
3.998609781265259,8.95
4.04818320274353,9.12
4.097567796707153,9.29
4.146360158920288,9.46
4.1960813999176025,9.62
4.24552059173584,9.79
4.294543504714966,9.96
4.343959093093872,10.13
4.393264055252075,10.29
4.442912817001343,10.46
4.492394685745239,10.63
4.541955947875977,10.81
4.590799570083618,10.98
4.640308380126953,11.15
4.690042495727539,11.33
4.738857746124268,11.51
4.788694858551025,11.72
4.83816123008728,11.93
4.887414932250977,12.15
4.936959266662598,12.37
4.985797882080078,12.61
5.0352888107299805,12.82
5.084906578063965,13.03
5.134320497512817,13.24
5.183566331863403,13.47
5.23299241065979,13.7
5.282692193984985,13.94
5.3318493366241455,14.18
5.381119251251221,14.42
5.430477619171143,14.65
5.479558706283569,14.86
5.528846502304077,15.08
5.5784382820129395,15.33
5.6274755001068115,15.6
5.676924705505371,15.87
5.726427793502808,16.16
5.775786876678467,16.45
5.825362920761108,16.71
5.8742899894714355,16.99
5.923688888549805,17.29
5.97319769859314,17.59
6.02262282371521,17.9
6.072264909744263,18.22
6.121683359146118,18.53
6.170724391937256,18.83
6.220383405685425,19.11
6.2694573402404785,19.4
6.319145202636719,19.72
6.368364095687866,20.05
6.417823314666748,20.39
6.467288494110107,20.75
6.516875982284546,21.12
6.566195964813232,21.49
6.615435600280762,21.86
6.664432525634766,22.24
6.71416974067688,22.62
6.763170957565308,23.01
6.812327861785889,23.38
6.862326622009277,23.75
6.911356687545776,24.13
6.960638523101807,24.51
7.010108232498169,24.89
7.059562683105469,25.3
7.108817100524902,25.72
7.158437490463257,26.16
7.207982063293457,26.59
7.257412672042847,27.04
7.3067567348480225,27.47
7.356197357177734,27.89
7.4055657386779785,28.31
7.455098390579224,28.73
7.503981113433838,29.17
7.553682327270508,29.62
7.60312032699585,30.09
7.652391195297241,30.56
7.701409339904785,31.05
7.750799179077148,31.53
7.800262928009033,32.01
7.849581003189087,32.52
7.899062871932983,33.03
7.948865175247192,33.55
7.998250961303711,34.08
8.046976804733276,34.61
8.096342086791992,35.13
8.146182537078857,35.64
8.195635795593262,36.16
8.244504690170288,36.69
8.293794393539429,37.22
8.343220710754395,37.76
8.392916917800903,38.3
8.442401885986328,38.84
8.491509199142456,39.39
8.54112434387207,39.97
8.590159893035889,40.53
8.63997507095337,41.08
8.689077854156494,41.62
8.73857855796814,42.19
8.787920713424683,42.79
8.837071657180786,43.42
8.886237859725952,44.07
8.93554949760437,44.73
8.984848260879517,45.37
9.035094738006592,45.98
9.083980321884155,46.58
9.133143663406372,47.19
9.183279514312744,47.81
9.232549667358398,48.44
9.281748056411743,49.07
9.331230640411377,49.69
9.380053997039795,50.31
9.429621934890747,50.94
9.479318380355835,51.58
9.528303623199463,52.28
9.577679634094238,53.01
9.626943826675415,53.77
9.676382541656494,54.54
9.725902080535889,55.3
9.775201320648193,56.03
9.824934720993042,56.74
9.87421441078186,57.45
9.923319816589355,58.15
9.972668647766113,58.85
10.022470712661743,59.56
10.071532011032104,60.26
10.121158838272095,60.94
10.170047044754028,61.63
10.22001028060913,62.31
10.268921375274658,62.99
10.31822419166565,63.71
10.36819863319397,64.51
10.417703628540039,65.35
10.466360807418823,66.19
10.515811681747437,67.03
10.565219402313232,67.84
10.614487171173096,68.49
10.664371013641357,69.04
10.713836431503296,69.6
10.763058423995972,70.2
10.812501192092896,70.83
10.861915588378906,71.6
10.910927534103394,72.45
10.96016001701355,73.31
11.009519338607788,74.14
11.059178590774536,74.92
11.10863208770752,75.59
11.158190727233887,76.14
11.20756196975708,76.69
11.256894826889038,77.27
11.306342124938965,77.89
11.35574197769165,78.77
11.40520167350769,79.85
11.454542875289917,80.92
11.503836393356323,82.0
11.5532968044281,83.03
11.602602481842041,83.91
11.652074575424194,84.7
11.701350688934326,85.5
11.75006365776062,86.3
11.799863338470459,87.11
11.8495512008667,87.93
11.898497581481934,88.72
11.948232650756836,89.49
11.997697114944458,90.24
12.046993255615234,90.99
12.096471548080444,91.73
12.145776987075806,92.48
12.194955825805664,93.24
12.244038581848145,94.02
12.293424129486084,94.97
12.342809438705444,96.06
12.39248776435852,97.21
12.441539525985718,98.36
12.491369485855103,99.47
12.540910482406616,100.37
12.590336799621582,101.1
12.639614582061768,101.79
12.689059257507324,102.47
12.738332986831665,103.15
12.787592887878418,103.86
12.837163925170898,104.58
12.886491060256958,105.29
12.93546175956726,106.02
12.985241174697876,106.76
13.034101963043213,107.62
13.084006786346436,108.57
13.13331151008606,109.51
13.182449340820312,110.43
13.231729984283447,111.29
13.281464338302612,112.01
13.330760478973389,112.61
13.380245447158813,113.21
13.429686307907104,113.8
13.478556394577026,114.44
13.527923822402954,115.14
13.577352046966553,115.88
13.626578569412231,116.66
13.676076650619507,117.48
13.725661516189575,118.36
13.774732112884521,119.37
13.824711799621582,120.45
13.874135494232178,121.53
13.922873258590698,122.6
13.97269606590271,123.59
14.021525382995605,124.42
14.071383476257324,125.13
14.120802879333496,125.81
14.169543504714966,126.46
14.219513416290283,127.14
14.268890857696533,127.84
14.318238973617554,128.58
14.367810249328613,129.35
14.416905641555786,130.14
14.466290473937988,130.96
14.515547513961792,131.79
14.56529450416565,132.62
14.61443567276001,133.46
14.66368556022644,134.31
14.712642192840576,135.15
14.762555837631226,135.98
14.811331748962402,136.87
14.86097264289856,137.88
14.910025358200073,138.93
14.9592604637146,139.93
15.009088039398193,140.9
15.05824089050293,141.75
15.108067274093628,142.44
15.15735912322998,143.09
15.206294298171997,143.78
15.255836248397827,144.51
15.305433988571167,145.28
15.354467391967773,146.1
15.404166460037231,146.91
15.453193664550781,147.72
15.502755165100098,148.53
15.552340507507324,149.33
15.601185321807861,150.13
15.65095591545105,150.92
15.700408220291138,151.71
15.749678134918213,152.5
15.799121856689453,153.28
15.847978353500366,154.07
15.89782977104187,154.85
15.946918725967407,155.65
15.996510028839111,156.45
16.04591464996338,157.3
16.095349550247192,158.23
16.144280433654785,159.13
16.193572521209717,159.97
16.243011236190796,160.79
16.292704343795776,161.55
16.341678142547607,162.23
16.392016649246216,162.93
16.440876007080078,163.67
16.489869356155396,164.41
16.539573192596436,165.16
16.589014291763306,165.91
16.638432025909424,166.67
16.68783736228943,167.45
16.73708176612854,168.24
16.786683320999146,169.03
16.835442543029785,169.87
16.884654998779297,170.7
16.934438467025757,171.51
16.98392105102539,172.32
17.033306121826172,173.11
17.082721948623657,173.78
17.132290840148926,174.3
17.18167018890381,174.68
17.230833768844604,174.91
18.280240297317505,175.0
18.29235577583313,174.8
18.341451168060303,174.33
18.3910870552063,170.89
18.440319299697876,168.89
18.489760637283325,167.3
18.53904104232788,165.9
18.58851432800293,164.77
18.637317419052124,166.66
18.687148809432983,167.13
18.736331939697266,166.69
18.785837411880493,161.84
18.835292100906372,159.75
18.884564638137817,158.03
18.93362832069397,156.31
18.98277497291565,155.11
19.032756567001343,158.33
19.081987857818604,158.79
19.131442070007324,158.39
19.180715799331665,153.77
19.229708194732666,151.81
19.279037714004517,150.26
19.32822322845459,148.75
19.37754487991333,147.69
19.42679762840271,150.79
19.476340293884277,151.21
19.525816917419434,150.73
19.57488703727722,146.21
19.624459505081177,144.24
19.67386817932129,142.71
19.723167896270752,141.34
19.773311138153076,140.59
19.822600603103638,143.87
19.87187886238098,144.58
19.920679092407227,144.42
19.970096826553345,140.25
20.019391775131226,138.39
20.068737983703613,136.91
20.11827516555786,135.5
20.16788101196289,134.55
20.217005252838135,137.49
20.266345024108887,137.99
20.315808057785034,137.67
20.365108966827393,133.67
20.414449214935303,131.99
20.464486598968506,130.7
20.51376247406006,129.45
20.563215494155884,128.62
